name,iteration,durationMs
drop-database,1,3356
create-database,1,70
drop-table-call_center,1,89
create-table-call_center,1,31561
drop-table-catalog_page,1,26
create-table-catalog_page,1,9433
drop-table-catalog_returns,1,25
create-table-catalog_returns,1,88167
drop-table-catalog_sales,1,18
create-table-catalog_sales,1,709701
drop-table-customer,1,17
create-table-customer,1,32897
drop-table-customer_address,1,17
create-table-customer_address,1,65782
drop-table-customer_demographics,1,16
create-table-customer_demographics,1,9886
drop-table-date_dim,1,22
create-table-date_dim,1,6561
drop-table-household_demographics,1,19
create-table-household_demographics,1,5189
drop-table-income_band,1,16
create-table-income_band,1,3788
drop-table-inventory,1,15
create-table-inventory,1,24267
drop-table-item,1,15
create-table-item,1,10437
drop-table-promotion,1,15
create-table-promotion,1,4326
drop-table-reason,1,15
create-table-reason,1,4295
drop-table-ship_mode,1,20
create-table-ship_mode,1,4858
drop-table-store,1,18
create-table-store,1,4572
drop-table-store_returns,1,13
create-table-store_returns,1,90811
drop-table-store_sales,1,14
create-table-store_sales,1,821516
drop-table-time_dim,1,15
create-table-time_dim,1,5453
drop-table-warehouse,1,14
create-table-warehouse,1,4449
drop-table-web_page,1,21
create-table-web_page,1,4337
drop-table-web_returns,1,14
create-table-web_returns,1,41363
drop-table-web_sales,1,14
create-table-web_sales,1,331519
drop-table-web_site,1,14
create-table-web_site,1,4188
,1,18
,1,51
