name,iteration,durationMs
q1,1,55477
q10,1,29270
q11,1,97464
q12,1,10452
q13,1,19373
q14a,1,105353
q14b,1,90993
q15,1,11514
q16,1,77452
q17,1,18757
q18,1,25466
q19,1,8824
q2,1,29456
q20,1,4259
q21,1,7017
q22,1,12492
q23a,1,335503
q23b,1,334180
q24a,1,83675
q24b,1,78719
q25,1,14859
q26,1,12428
q27,1,12610
q28,1,164776
q29,1,36017
q3,1,4406
q30,1,18599
q31,1,22773
q32,1,3743
q33,1,8882
q34,1,2126
q35,1,25626
q36,1,12633
q37,1,11935
q38,1,53364
q39a,1,11185
q39b,1,10455
q4,1,192977
q40,1,11389
q41,1,2368
q42,1,3361
q43,1,7521
q44,1,51300
q45,1,10827
q46,1,3125
q47,1,22357
q48,1,17888
q49,1,16070
q5,1,32440
q50,1,100503
q51,1,31735
q52,1,3560
q53,1,7046
q54,1,12874
q55,1,2637
q56,1,5946
q57,1,16299
q58,1,6600
q59,1,32140
q6,1,11140
q60,1,8435
q61,1,7926
q62,1,12597
q63,1,8020
q64,1,71456
q65,1,63998
q66,1,17880
q67,1,302798
q68,1,2682
q69,1,12553
q7,1,13394
q70,1,18522
q71,1,7591
q72,1,51914
q73,1,2133
q74,1,79811
q75,1,75030
q76,1,45164
q77,1,8975
q78,1,202480
q79,1,18572
q8,1,12342
q80,1,34606
q81,1,22537
q82,1,14135
q83,1,5751
q84,1,12643
q85,1,17392
q86,1,7144
q87,1,56520
q88,1,101085
q89,1,8672
q9,1,36269
q90,1,10964
q91,1,10511
q92,1,3422
q93,1,116566
q94,1,40989
q95,1,61352
q96,1,14254
q97,1,74516
q98,1,7776
q99,1,21407
q1,2,11397
q10,2,13361
q11,2,88017
q12,2,3864
q13,2,16993
q14a,2,100321
q14b,2,92631
q15,2,11668
q16,2,73252
q17,2,17357
q18,2,23646
q19,2,9021
q2,2,28911
q20,2,5198
q21,2,3949
q22,2,12595
q23a,2,337258
q23b,2,336481
q24a,2,85502
q24b,2,78460
q25,2,16349
q26,2,11527
q27,2,13393
q28,2,162679
q29,2,37098
q3,2,5811
q30,2,17877
q31,2,25701
q32,2,3398
q33,2,10284
q34,2,2215
q35,2,28332
q36,2,12620
q37,2,11139
q38,2,54309
q39a,2,10888
q39b,2,10664
q4,2,192910
q40,2,10431
q41,2,2451
q42,2,2955
q43,2,7186
q44,2,51098
q45,2,11582
q46,2,1998
q47,2,21864
q48,2,17255
q49,2,17230
q5,2,30293
q50,2,100963
q51,2,31490
q52,2,3635
q53,2,7224
q54,2,13283
q55,2,3424
q56,2,6923
q57,2,15798
q58,2,6216
q59,2,31218
q6,2,11089
q60,2,8463
q61,2,8003
q62,2,10767
q63,2,6971
q64,2,71595
q65,2,63797
q66,2,15280
q67,2,298791
q68,2,2197
q69,2,11990
q7,2,12940
q70,2,17715
q71,2,6985
q72,2,47578
q73,2,1991
q74,2,79508
q75,2,73093
q76,2,44422
q77,2,7922
q78,2,200011
q79,2,16133
q8,2,11347
q80,2,34781
q81,2,23870
q82,2,14653
q83,2,5588
q84,2,10346
q85,2,14837
q86,2,6456
q87,2,56443
q88,2,98278
q89,2,7777
q9,2,34236
q90,2,9407
q91,2,8852
q92,2,3427
q93,2,112910
q94,2,38322
q95,2,60990
q96,2,14136
q97,2,74195
q98,2,7248
q99,2,20561
q1,3,10354
q10,3,11421
q11,3,88754
q12,3,4101
q13,3,16820
q14a,3,99016
q14b,3,90929
q15,3,11803
q16,3,73171
q17,3,16350
q18,3,24933
q19,3,8669
q2,3,28265
q20,3,5100
q21,3,4225
q22,3,12075
q23a,3,338419
q23b,3,338861
q24a,3,88830
q24b,3,81509
q25,3,15885
q26,3,11327
q27,3,12413
q28,3,166452
q29,3,37678
q3,3,5581
q30,3,19923
q31,3,24682
q32,3,3427
q33,3,9043
q34,3,1843
q35,3,26798
q36,3,12223
q37,3,10438
q38,3,53937
q39a,3,11745
q39b,3,8586
q4,3,192658
q40,3,10560
q41,3,2594
q42,3,3330
q43,3,7462
q44,3,51372
q45,3,11861
q46,3,2436
q47,3,22811
q48,3,17239
q49,3,17217
q5,3,31093
q50,3,100435
q51,3,31988
q52,3,3494
q53,3,6807
q54,3,12874
q55,3,2877
q56,3,6541
q57,3,16471
q58,3,7239
q59,3,32063
q6,3,10692
q60,3,7868
q61,3,7709
q62,3,10014
q63,3,6209
q64,3,67928
q65,3,63774
q66,3,14860
q67,3,300537
q68,3,2352
q69,3,11990
q7,3,12722
q70,3,17820
q71,3,6972
q72,3,47250
q73,3,2266
q74,3,79468
q75,3,73178
q76,3,44101
q77,3,6425
q78,3,199482
q79,3,16320
q8,3,11470
q80,3,34824
q81,3,22828
q82,3,14025
q83,3,5423
q84,3,10694
q85,3,15312
q86,3,6466
q87,3,55759
q88,3,99324
q89,3,7855
q9,3,34221
q90,3,9953
q91,3,8648
q92,3,2803
q93,3,113460
q94,3,38713
q95,3,61237
q96,3,13799
q97,3,74959
q98,3,8837
q99,3,23359
