name,iteration,durationMs
drop-database,1,2401
create-database,1,282
drop-table-call_center,1,462
create-table-call_center,1,18951
drop-table-catalog_page,1,32
create-table-catalog_page,1,8209
drop-table-catalog_returns,1,30
create-table-catalog_returns,1,100271
drop-table-catalog_sales,1,24
create-table-catalog_sales,1,763272
drop-table-customer,1,24
create-table-customer,1,29931
drop-table-customer_address,1,22
create-table-customer_address,1,41434
drop-table-customer_demographics,1,27
create-table-customer_demographics,1,6906
drop-table-date_dim,1,21
create-table-date_dim,1,4128
drop-table-household_demographics,1,23
create-table-household_demographics,1,2933
drop-table-income_band,1,22
create-table-income_band,1,2905
drop-table-inventory,1,21
create-table-inventory,1,25883
drop-table-item,1,20
create-table-item,1,10997
drop-table-promotion,1,19
create-table-promotion,1,3017
drop-table-reason,1,19
create-table-reason,1,2917
drop-table-ship_mode,1,20
create-table-ship_mode,1,2853
drop-table-store,1,22
create-table-store,1,2823
drop-table-store_returns,1,19
create-table-store_returns,1,130957
drop-table-store_sales,1,19
create-table-store_sales,1,987195
drop-table-time_dim,1,20
create-table-time_dim,1,4324
drop-table-warehouse,1,23
create-table-warehouse,1,2710
drop-table-web_page,1,20
create-table-web_page,1,3128
drop-table-web_returns,1,20
create-table-web_returns,1,48269
drop-table-web_sales,1,17
create-table-web_sales,1,376363
drop-table-web_site,1,18
create-table-web_site,1,2467
,1,20
,1,133
